Program,SamplePoint,Description,Latitude,Longitude,SampleDate,sampleDateStart,sampleDateEnd,evaluationCode,speciesCode,speciesName,vegCommunity,abundance,breedEvidence,propSurveyed(number),Comments
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,202,"Chenonetta jubata (Latham, 1801)",Black box woodland,31,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,188,"Egretta novaehollandiae (Latham, 1790)",Black box woodland,2,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,59,"Fulica atra Linnaeus, 1758",Black box woodland,33,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,146,"Himantopus himantopus (Linnaeus, 1758)",Black box woodland,42,FALSE,0.32,10 juveniles seen + at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,213,"Malacorhynchus membranaceus (Latham, 1801)",Black box woodland,18,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,192,"Nycticorax caledonicus (Gmelin, 1789)",Black box woodland,1,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,179,"Threskiornis molucca (Cuvier, 1829)",Black box woodland,2,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,180,"Threskiornis spinicollis (Jameson, 1835)",Black box woodland,15,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,55,"Tribonyx ventralis (Gould, 1837)",Black box woodland,18,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-11 7:10,2016-12-11 7:10,2016-12-11 7:50,E3,133,"Vanellus (Lobipluvia) miles (Boddaert, 1783)",Black box woodland,8,FALSE,0.32,at the veg transect points
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,211,"Anas (Nettion) gracilis Buller, 1869",Black box woodland,1,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,189,"Ardea (Ardea) pacifica Latham, 1801",Black box woodland,1,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,188,"Egretta novaehollandiae (Latham, 1790)",Black box woodland,2,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,144,"Elseyornis melanops (Vieillot, 1818)",Black box woodland,2,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,59,"Fulica atra Linnaeus, 1758",Black box woodland,2,TRUE,0.32,1 chick
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,213,"Malacorhynchus membranaceus (Latham, 1801)",Black box woodland,26,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,192,"Nycticorax caledonicus (Gmelin, 1789)",Black box woodland,5,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,99,"Phalacrocorax (Phalacrocorax) varius (Gmelin, 1789)",Black box woodland,1,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,182,"Platalea (Platibis) flavipes Gould, 1838",Black box woodland,1,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,326,"Todiramphus (Todiramphus) sanctus (Vigors & Horsfield, 1827)",Black box woodland,2,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-01 16:57,2017-02-01 16:57,2017-02-01 17:39,E3,133,"Vanellus (Lobipluvia) miles (Boddaert, 1783)",Black box woodland,2,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-02 6:35,2017-02-02 6:35,2017-02-02 7:15,E3,189,"Ardea (Ardea) pacifica Latham, 1801",Black box woodland,2,FALSE,0.32,dry other than the dam
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-02 6:35,2017-02-02 6:35,2017-02-02 7:15,E3,110,"Chlidonias (Pelodes) hybrida (Pallas, 1811)",Black box woodland,1,FALSE,0.32,dry other than the dam
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-02 6:35,2017-02-02 6:35,2017-02-02 7:15,E3,144,"Elseyornis melanops (Vieillot, 1818)",Black box woodland,2,FALSE,0.32,dry other than the dam
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2017-02-02 6:35,2017-02-02 6:35,2017-02-02 7:15,E3,59,"Fulica atra Linnaeus, 1758",Black box woodland,3,TRUE,0.32,1 chick + dry other than the dam
