source_id,program,site_name,latitude,longitude,survey_date,year,month,water_year,survey_type,scientific_name,common_name,functional_group,species_code,abundance,nest_count,brood_count,prop_surveyed,percent_full,breeding_evidence,veg_community,mdb_scope
S4,EAWS,,-30.46667,148.2733,1996-01-01,1996,,1997,aerial,Ardea pacifica,Pacific heron,La,WNH,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,Gidginbill Dam,-30.445,148.2183,1996-01-01,1996,,1997,aerial,Ardea pacifica,Pacific heron,La,WNH,1.0,0.0,0.0,0.6000000000000001,60.0,False,,True
S4,EAWS,,-30.49333,148.4567,1998-01-01,1998,,1999,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,0.7,70.0,False,,True
S4,EAWS,Lochinvar Irrigation Dam,-30.45139,147.6144,1996-01-01,1996,,1997,aerial,Ardea pacifica,Pacific heron,La,WNH,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,Nedgera Creek Lake,-30.49444,147.9845,1999-01-01,1999,,2000,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,,-30.48333,148.25,1993-01-01,1993,,1994,aerial,Malacorhynchus membranaceus,Pink-eared duck,Du,PED,1.0,0.0,0.0,0.95,95.0,False,,True
S4,EAWS,Gidginbill Dam,-30.445,148.2183,2000-01-01,2000,,2001,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,0.8999999999999999,90.0,False,,True
S4,EAWS,Narra Win Tank No.B,-30.53167,147.2136,2001-01-01,2001,,2002,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,0.9,90.0,False,,True
S4,EAWS,The Marra N Tank,-30.52722,147.0883,1991-01-01,1991,,1992,aerial,Ardea pacifica,Pacific heron,La,WNH,1.0,0.0,0.0,0.4999999975,50.0,False,,True
S4,EAWS,,-30.51667,147.1333333,1991-01-01,1991,,1992,aerial,Ardea pacifica,Pacific heron,La,WNH,1.0,0.0,0.0,0.1999999995,20.0,False,,True
S4,EAWS,Gidginbill Dam,-30.445,148.2183,2010-01-01,2010,,2011,aerial,Ardea alba,Great egret,La,LGE,1.0,0.0,0.0,0.8500000000000001,85.0,False,,True
S4,EAWS,Nedgera Creek L,-30.49444,147.9845,2012-01-01,2012,,2013,aerial,Ardea pacifica,Pacific heron,La,WNH,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,Womby Canal Tank,-30.52722,147.1144,2012-01-01,2012,,2013,aerial,Ardea pacifica,Pacific heron,La,WNH,1.0,0.0,0.0,,40.0,False,,True
